path	class	bytes	mtime_utc	identity_kind	identity
.omo/ulw-research/20260809-065345/outputs/qa/landscape-page-04.png	research-artifact	92936	2026-08-08T22:58:34Z	size+mtime(dataless)	bytes=92936;mtime=2026-08-08T22:58:34Z
.omo/ulw-research/20260809-065345/outputs/qa/page-01.png	research-artifact	153322	2026-08-08T22:57:04Z	size+mtime(dataless)	bytes=153322;mtime=2026-08-08T22:57:04Z
.omo/ulw-research/20260809-065345/outputs/qa/page-02.png	research-artifact	124044	2026-08-08T22:57:04Z	size+mtime(dataless)	bytes=124044;mtime=2026-08-08T22:57:04Z
.omo/ulw-research/20260809-065345/outputs/qa/page-03.png	research-artifact	123804	2026-08-08T22:57:04Z	size+mtime(dataless)	bytes=123804;mtime=2026-08-08T22:57:04Z
.omo/ulw-research/20260809-065345/outputs/qa/page-04.png	research-artifact	118378	2026-08-08T22:57:04Z	size+mtime(dataless)	bytes=118378;mtime=2026-08-08T22:57:04Z
.omo/ulw-research/20260809-065345/outputs/qa/page-05.png	research-artifact	127917	2026-08-08T22:57:04Z	size+mtime(dataless)	bytes=127917;mtime=2026-08-08T22:57:04Z
.omo/ulw-research/20260809-065345/outputs/qa/page-06.png	research-artifact	125709	2026-08-08T22:57:04Z	size+mtime(dataless)	bytes=125709;mtime=2026-08-08T22:57:04Z
.omo/ulw-research/20260809-065345/outputs/qa/page-07.png	research-artifact	148116	2026-08-08T22:57:04Z	size+mtime(dataless)	bytes=148116;mtime=2026-08-08T22:57:04Z
.omo/ulw-research/20260809-065345/outputs/qa/page-08.png	research-artifact	139645	2026-08-08T22:57:04Z	size+mtime(dataless)	bytes=139645;mtime=2026-08-08T22:57:04Z
.omo/ulw-research/20260809-065345/outputs/qa/page-09.png	research-artifact	125286	2026-08-08T22:57:04Z	size+mtime(dataless)	bytes=125286;mtime=2026-08-08T22:57:04Z
